职位唯一标识(encryptJobId),职位名称,薪资,技能要求,学历要求,工作经验,公司名称,城市,招聘负责人,福利,职位链接
c1bfca2c0785e0b703B83d2_F1dV,AI产品策划实习生,150-200元/天,"['B端产品', 'AI', 'LLM']",本科,,腾讯,深圳,刘先生,"员工旅游, 带薪年假, 补充医疗保险, 意外险, 定期体检, 免费健身房, 团建聚餐, 年终奖, 免费班车, 交通补助, 节日福利, 有无线网, 公仔周边活动, 五险一金",https://www.zhipin.com/job_detail/c1bfca2c0785e0b703B83d2_F1dV.html?securityId=hKiEzu8S3HknT-u1eDIEsd_-WDrHPhhPMQ7R1ZfBf6RvFJhQ9aMYGoYFxX8r0vXkqAH2RAl-eAykAz4XQd_E6MXn09M1aBVJgW-epXr87wT5LA~~
a31c45731c25579a03d729i_F1dY,云存储-研发高级工程师（云智）,14-24K·14薪,"['C++', 'MySQL', 'Linux开发/部署经验']",本科,3-5年,腾讯,武汉,刘女士,"员工旅游, 交通补助, 带薪年假, 餐补, 零食下午茶, 公仔周边活动, 五险一金, 节日福利, 免费班车, 免费早晚餐, 免费健身房, 住房补贴, 包吃, 股票期权, 定期体检, 年终奖, 补充医疗保险",https://www.zhipin.com/job_detail/a31c45731c25579a03d729i_F1dY.html?securityId=5heNgHq8d0maY-413W0H0oRL9Xk9f2ykFXmR7xw-CRK7aGhVoHqo3VnpNjy79B37Fro1WEjEYXiNJBcn4xWAdchkGw_M6RR16ZdSYJKXJtXBS5mnRm4~
0834745f195e77cf03R809i6FFRV,异构计算研发工程师-广告模型平台(北京),50-80K·16薪,"['深度学习', '机器学习', '模型加速/性能优化', 'C/C++', '算法工程化经验']",本科,3-5年,腾讯,北京,江女士,"包吃, 住房补贴, 免费早晚餐, 五险一金, 定期体检, 餐补, 交通补助, 股票期权, 零食下午茶, 免费班车, 年终奖, 免费健身房, 公仔周边活动, 带薪年假, 节日福利, 员工旅游, 补充医疗保险",https://www.zhipin.com/job_detail/0834745f195e77cf03R809i6FFRV.html?securityId=VxogzC3uwXlAu-z1gt7Cke2A6_JFecAGkSeqi8YYLDNWNcDEMseSA3TiMFZNAVQw9fKk8GYOPF0Gfa7xoc6kjWGFTcaOS3wn2aOIN3ZElPDYEdUzrCRH
914f344696f225b403B709-4FVRT,【深圳】腾讯云_平台产品经理,25-50K·16薪,[],本科,3-5年,腾讯,深圳,何女士,"节日福利, 零食下午茶, 免费早晚餐, 补充医疗保险, 带薪年假, 定期体检, 免费健身房, 年终奖, 公仔周边活动, 员工旅游, 包吃, 餐补, 五险一金, 股票期权, 交通补助, 住房补贴, 免费班车",https://www.zhipin.com/job_detail/914f344696f225b403B709-4FVRT.html?securityId=A55UDvA0aYhyY-S1F4TR5FID6mGDsmA5p5DsRpKpT9sq-9531o6lvrr15bPPnUu1BLkDFi-psM5zKCmqzKCeGOTlYzbeMQMpBEaIlambLwZwjM5Z_BM~
ab19cbff0c73d5701Hxy2tq8GFdR,PC客户端高级研发工程师(北京),40-70K·15薪,['C++'],本科,经验不限,腾讯,北京,马先生,"股票期权, 免费健身房, 定期体检, 零食下午茶, 包吃, 住房补贴, 补充医疗保险, 免费班车, 带薪年假, 五险一金, 员工旅游, 年终奖, 餐补, 节日福利, 公仔周边活动, 交通补助, 免费早晚餐",https://www.zhipin.com/job_detail/ab19cbff0c73d5701Hxy2tq8GFdR.html?securityId=HgW4a9zAPOyPk-11Ow-dXc8bDw8eWjXMvLjQWsgVl3FRl_Q3ZDK9P4S_cEo7NHiwBtgrTjaQeox9WLZI_j89MoEC02qbVe03BqLCvCZmpnh0Q3Vm6LU~
2fa7619e600700071Hx52t2_FFdX,《三角洲行动》海外宣发推广运营,25-45K·18薪,['文娱/游戏'],本科,3-5年,腾讯,深圳,魏先生,"定期体检, 员工旅游, 补充医疗保险, 有无线网, 团建聚餐, 年终奖, 带薪年假, 免费班车, 公仔周边活动, 意外险, 节日福利, 五险一金, 交通补助, 免费健身房",https://www.zhipin.com/job_detail/2fa7619e600700071Hx52t2_FFdX.html?securityId=TSiBDQ7auhDyy-k1OV6m3cp58YHg8RWk0PWMJ8okKjPoRJL62-Vn1QTzKznXZFSMRIR6NYt83OacwOFrYVlvpgUIA4fPGcYB-usG3p9a3XTz3A~~
1d0f6f3cc3e168fc03Z909q5GVBQ,Anycast网络研发高级工程师(深圳/北京),40-70K,"['有网络工程师经验', 'C/C++', '运营商', '3到5年网络工程师经验', '计算机相关专业', '熟悉Linux等操作系统', '网络架构设计']",本科,5-10年,腾讯,深圳,王先生,"免费健身房, 交通补助, 免费班车, 住房补贴, 五险一金, 公仔周边活动, 带薪年假, 员工旅游, 股票期权, 年终奖, 包吃, 零食下午茶, 节日福利, 定期体检, 补充医疗保险, 免费早晚餐, 餐补",https://www.zhipin.com/job_detail/1d0f6f3cc3e168fc03Z909q5GVBQ.html?securityId=CbcjHulNapP3u-d1cahE0aTEGcmPWr_51A5rI-oye4GvRlW2VqhfHp_vpeqKNS8iRFdExbMDeijA7DEUhPhJIPeJr-IGSi8NdZ66P7udNOi87TEp
be5f2066a1e99ed71XB82d66GFVV,高级推荐算法工程师 （深圳/北京）,95-100K,"['Java', 'Python', 'TensorFlow/PyTorch']",本科,5-10年,腾讯,深圳,曾先生,"意外险, 五险一金, 带薪年假, 团建聚餐, 交通补助, 年终奖, 有无线网, 补充医疗保险, 免费班车, 定期体检, 免费健身房, 员工旅游, 节日福利, 公仔周边活动",https://www.zhipin.com/job_detail/be5f2066a1e99ed71XB82d66GFVV.html?securityId=hGriJ6iNXVHqi-r1mBgsrKMSQGMiePaiE6XFcHkhQSoHWGqo_Q2HNpE8nDhu_ivc6NTqhK-IEFhNGmpz-0K5T7_V6Pq0O4C2-fmZ8pxjoOz6
c334c51f199f121b03d92tW-EFBU,云后台测试开发工程师,15-20K·15薪,[],本科,1-3年,腾讯,西安,王先生,"定期体检, 补充医疗保险, 零食下午茶, 节日福利, 带薪年假, 员工旅游, 五险一金, 免费班车, 餐补, 住房补贴, 年终奖, 交通补助, 公仔周边活动, 股票期权, 包吃, 免费健身房, 免费早晚餐",https://www.zhipin.com/job_detail/c334c51f199f121b03d92tW-EFBU.html?securityId=ftx6ARANXnWXy-K1e7-xwu87mXXJ6_3RxawQ1TgQcrenrh0LRTdME8_nxwJ9d5Rw78KA1Jii47e6VEnoqwd5f7SrXHS14YlVPOqYloUchPm6J7aWi2o~
fa398d1d80e69b2e1HN60tu6ElpV,运维工程师,15-30K·14薪,"['Golang', '实施交付运维', '系统运维', '运维开发/DevOps', 'Python/Shell', '运维经验']",本科,3-5年,腾讯,武汉,李先生,"定期体检, 零食下午茶, 节日福利, 员工旅游, 住房补贴, 五险一金, 交通补助, 补充医疗保险, 免费早晚餐, 带薪年假, 包吃, 免费健身房, 公仔周边活动, 股票期权, 餐补, 年终奖, 免费班车",https://www.zhipin.com/job_detail/fa398d1d80e69b2e1HN60tu6ElpV.html?securityId=eSDJtM8Gi6hAR-A1nFTkWNW_jziaKIdKikM-RcRaZtQh3FRXj7uILmuFoMr1K7koK5xo9V6PDGkPXFbe9SrdEuO7vliSRMJyfIHZPBXGBVtxwNWAsPwkIKoizUB1X2KFcAmFypWWAEQvjyMDemxGtGs~
